Food code,Start date,End date,Seq num,SR code,SR description,Amount,Measure,Portion code,Retention code,Flag,Weight
71106000,01-Jan-13,31-Dec-14,3,2047,"Salt, table",0.5,TS,10205,0,5,3
71106010,01-Jan-13,31-Dec-14,1,11367,"Potatoes, boiled, cooked without skin, flesh, without salt",2,,62389,0,0,156
71106010,01-Jan-13,31-Dec-14,2,2047,"Salt, table",0.16,TS,10205,0,5,0.96
71106020,01-Jan-13,31-Dec-14,1,11367,"Potatoes, boiled, cooked without skin, flesh, without salt",2,,62389,0,0,156
71106020,01-Jan-13,31-Dec-14,2,6116,"Gravy, beef, canned, ready-to-serve",6,TB,10205,0,0,87.375
71106050,01-Jan-13,31-Dec-14,1,11367,"Potatoes, boiled, cooked without skin, flesh, without salt",2,,62389,0,0,156
71106050,01-Jan-13,31-Dec-14,2,6116,"Gravy, beef, canned, ready-to-serve",6,TB,10205,0,0,87.375
71106070,01-Jan-13,31-Dec-14,1,11367,"Potatoes, boiled, cooked without skin, flesh, without salt",2,,62389,0,0,156
71106070,01-Jan-13,31-Dec-14,2,6119,"Gravy, chicken, canned or bottled, ready-to-serve",6,TB,10205,0,0,89.25
71201015,01-Jan-13,31-Dec-14,1,19411,"Snacks, potato chips, plain, salted",100,GM,0,0,0,100
71201020,01-Jan-13,31-Dec-14,1,19411,"Snacks, potato chips, plain, salted",100,GM,0,0,0,100
71201050,01-Jan-13,31-Dec-14,1,19422,"Snacks, potato chips, reduced fat",100,GM,0,0,0,100
71201080,01-Jan-13,31-Dec-14,1,19437,"Snacks, potato chips, fat free, salted",100,GM,0,0,0,100
71201090,01-Jan-13,31-Dec-14,1,19423,"Snacks, potato chips, fat-free, made with olestra",100,GM,0,0,0,100
71201100,01-Jan-13,31-Dec-14,1,19410,"Snack, potato chips, made from dried potatoes, plain",100,GM,0,0,0,100
71201200,01-Jan-13,31-Dec-14,1,19045,"Snacks, potato chips, made from dried potatoes, reduced fat",100,GM,0,0,0,100
71201210,01-Jan-13,31-Dec-14,1,19445,"Snacks, potato chips, made from dried potatoes, fat-free, made with olestra",100,GM,0,0,0,100
71201250,01-Jan-13,31-Dec-14,1,42283,"Snacks, potato chips, white, restructured, baked",100,GM,0,0,0,100
71202000,01-Jan-13,31-Dec-14,1,19811,"Snacks, potato chips, plain, unsalted",100,GM,0,0,0,100
71202100,01-Jan-13,31-Dec-14,1,19823,"Potato chips, without salt, reduced fat",100,GM,0,0,0,100
71202500,01-Jan-13,31-Dec-14,1,25064,"Snacks, potato chips, lightly salted",100,GM,0,0,0,100
71204000,01-Jan-13,31-Dec-14,1,19411,"Snacks, potato chips, plain, salted",100,GM,0,0,0,100
71205000,01-Jan-13,31-Dec-14,1,19415,"Snacks, potato sticks",100,GM,0,0,0,100
71211000,01-Jan-13,31-Dec-14,1,19410,"Snack, potato chips, made from dried potatoes, plain",100,GM,0,0,0,100
71220000,01-Jan-13,31-Dec-14,1,25040,"Snacks, vegetable chips, made from garden vegetables",100,GM,0,0,0,100
71301000,01-Jan-13,31-Dec-14,1,11367,"Potatoes, boiled, cooked without skin, flesh, without salt",2,,62389,0,0,156
71301000,01-Jan-13,31-Dec-14,2,20081,"Wheat flour, white, all-purpose, enriched, bleached",3.7,GM,0,302,0,3.7
71301000,01-Jan-13,31-Dec-14,3,11100000,"Milk, NFS",114.7,GM,0,2151,0,114.7
71301000,01-Jan-13,31-Dec-14,4,81102010,"Margarine, stick, salted",6.6,GM,0,0,4,6.6
71301000,01-Jan-13,31-Dec-14,5,2047,"Salt, table",2.1,GM,0,0,5,2.1
71301020,01-Jan-13,31-Dec-14,1,1009,"Cheese, cheddar",1,CP,10159,1,0,113
71301020,01-Jan-13,31-Dec-14,2,20081,"Wheat flour, white, all-purpose, enriched, bleached",3,TB,10205,301,0,23.438
71301020,01-Jan-13,31-Dec-14,3,11352,"Potatoes, flesh and skin, raw",1065,GM,0,3302,3,1065
71301020,01-Jan-13,31-Dec-14,4,11100000,"Milk, NFS",1.5,C,10205,2153,0,366
71301020,01-Jan-13,31-Dec-14,5,81100000,"Table fat, NFS",3,TB,10205,0,4,42.563
71301020,01-Jan-13,31-Dec-14,6,2047,"Salt, table",1.5,TS,10205,0,5,9
71301021,01-Jan-13,31-Dec-14,1,1009,"Cheese, cheddar",1,C,10159,1,0,113
